sale_date,product_id,quantity,sales_price_tax,regular_price_tax,sales_price,regular_price,purchase_price
2021-04-14,112437,1,7999.0,9443.0,6666.0,7869.4444,5089.0155
2021-04-14,112582,2,25684.5,32211.0,21403.5,26842.5917,18909.0
2021-04-14,121807,1,1490.0,1490.0,1242.0,1241.6667,1009.47
2021-04-14,125506,5,1490.0,1656.0,1242.0,1379.6296,718.07
2021-04-14,128194,2,25665.0,31110.0,21387.5,25925.0,18449.53745
2021-04-14,131910,7,7490.0,11110.0,6242.0,9258.3333,6147.5735
2021-04-14,132408,1,9990.0,17211.0,8325.0,14342.5926,8860.33
2021-04-14,132842,1,2490.0,3878.0,2075.0,3231.4815,1689.05
2021-04-14,134358,3,39656.0,46656.0,33047.0,38880.0,30430.0
2021-04-14,136250,4,990.0,2767.0,825.0,2305.5583,980.0
2021-04-14,145377,8,1190.0,2100.0,992.0,1750.0,860.0
2021-04-14,154553,1,19823.0,23322.0,16519.0,19435.1852,15754.5
2021-04-14,156485,1,55992.0,69989.0,46660.0,58324.0741,44618.2
2021-04-14,156866,7,27990.0,38878.0,23325.0,32398.1481,22419.9999
2021-04-14,157316,2,3990.0,7767.0,3325.0,6472.2222,2829.0
2021-04-14,157317,2,4990.0,11100.0,4158.0,9250.0,3516.0
2021-04-14,157318,2,4990.0,12211.0,4158.0,10175.9259,3481.2
2021-04-14,161147,3,3332.0,4999.0,2777.0,4165.7407,2200.0
2021-04-15,103851,4,1190.0,1190.0,992.0,991.6667,773.5026
2021-04-15,107645,1,1792.0,4433.0,1493.0,3694.4444,1369.29
2021-04-15,110675,1,3041.0,4054.0,2534.0,3378.7037,1951.6982
2021-04-15,110853,2,3990.0,8322.0,3325.0,6935.1852,2833.7
2021-04-15,110908,1,6507.0,7656.0,5422.0,6379.6333,3722.0
2021-04-15,112376,4,390.0,433.0,325.0,361.1111,244.075
2021-04-15,112377,2,1190.0,1322.0,992.0,1101.8519,644.813
2021-04-15,112582,2,23991.0,32211.0,19992.0,26842.5917,18909.0
2021-04-15,124329,1,2990.0,3322.0,2492.0,2768.5185,1950.0
2021-04-15,125506,5,1490.0,1656.0,1242.0,1379.6296,718.07
2021-04-15,128194,1,21990.0,31110.0,18325.0,25925.0,18784.9958
2021-04-15,128772,2,21713.0,25544.0,18094.0,21287.037,17261.0
2021-04-15,131910,31,7490.0,11110.0,6242.0,9258.3333,6140.825
2021-04-15,132408,5,9990.0,17211.0,8325.0,14342.5926,8207.46
2021-04-15,132842,1,2242.0,3878.0,1868.0,3231.4815,1689.05
2021-04-15,133888,2,4158.0,5544.0,3465.0,4620.3704,2738.903
2021-04-15,134200,3,3590.0,3590.0,2992.0,2991.6667,2333.5026
2021-04-15,134358,1,41990.0,46656.0,34992.0,38880.0,30430.0
2021-04-15,136250,8,990.0,2767.0,825.0,2305.5583,980.0
2021-04-15,142254,2,5990.0,7656.0,4992.0,6379.6333,3791.0
2021-04-15,143220,1,2490.0,5544.0,2075.0,4620.3704,1712.49
2021-04-15,145377,17,1190.0,2100.0,992.0,1750.0,860.0
2021-04-15,154553,1,18658.0,23322.0,15548.0,19435.1852,15754.5
2021-04-15,156095,1,3690.0,4100.0,3075.0,3416.6667,2375.0287
2021-04-15,156474,1,29739.0,34989.0,24782.0,29157.4074,20000.0
2021-04-15,156866,8,27990.0,38878.0,23325.0,32398.1481,22419.9999
2021-04-15,157317,1,4990.0,11100.0,4158.0,9250.0,3516.0
2021-04-15,161147,3,3999.0,4999.0,3332.0,4165.7407,2200.0
2021-04-16,103851,2,1101.0,1190.0,917.5,991.6667,773.5026
2021-04-16,107645,3,1990.0,4433.0,1658.0,3694.4444,1369.29
2021-04-16,110675,1,3446.0,4054.0,2872.0,3378.7037,1951.6982
2021-04-16,110853,6,3990.0,8322.0,3325.0,6935.1852,2833.7
2021-04-16,110908,1,6890.0,7656.0,5742.0,6379.6333,3993.0
2021-04-16,112437,1,7999.0,9443.0,6666.0,7869.4444,5091.5697
2021-04-16,124329,2,2990.0,3322.0,2492.0,2768.5185,1800.0
2021-04-16,128772,2,22351.0,25544.0,18625.5,21287.037,17261.0
2021-04-16,131910,21,7490.0,11110.0,6242.0,9258.3333,6140.825
2021-04-16,132284,1,27990.0,31100.0,23325.0,25916.6667,21013.94
2021-04-16,132408,7,9990.0,17211.0,8325.0,14342.5926,7927.67
2021-04-16,132842,2,2490.0,3878.0,2075.0,3231.4824,1689.05
2021-04-16,134200,3,3052.0,3590.0,2543.0,2991.6667,2333.5026
2021-04-16,136250,5,990.0,2767.0,825.0,2305.5583,980.0
2021-04-16,139935,2,1203.0,1666.0,1002.5,1387.963,720.0
2021-04-16,143220,2,2490.0,5544.0,2075.0,4620.3704,1712.49
2021-04-16,143226,1,2490.0,3322.0,2075.0,2768.5185,1687.07
2021-04-16,145377,5,1190.0,2100.0,992.0,1750.0,860.0
2021-04-16,154553,1,20990.0,23322.0,17492.0,19435.1852,15754.5
2021-04-16,156474,1,24990.0,34989.0,20825.0,29157.4074,20000.0
2021-04-16,156866,12,27990.0,38878.0,23325.0,32398.1481,22419.9999
2021-04-16,157316,5,3990.0,7767.0,3325.0,6472.2222,2829.0
2021-04-16,157317,5,4990.0,11100.0,4158.0,9250.0,3516.0
2021-04-16,157318,3,4990.0,12211.0,4158.0,10175.9259,3481.2
2021-04-17,131910,1,7490.0,11110.0,6242.0,9258.3333,6140.825
2021-04-17,134358,2,39656.0,46656.0,33047.0,38880.0,30430.0
2021-04-17,136250,1,990.0,2767.0,825.0,2305.5583,980.0
2021-04-17,142254,1,5990.0,7656.0,4992.0,6379.6333,3722.0
2021-04-17,156866,2,27990.0,38878.0,23325.0,32398.1481,22419.9999
2021-04-17,157316,1,3990.0,7767.0,3325.0,6472.2222,2829.0
2021-04-17,157318,1,4990.0,12211.0,4158.0,10175.9259,3481.2
2021-04-17,161147,1,3749.0,4999.0,3124.0,4165.7407,2200.0
2021-04-18,136250,1,990.0,2767.0,825.0,2305.5583,980.0
2021-04-18,145377,1,1190.0,2100.0,992.0,1750.0,1060.0
2021-04-18,157318,1,4990.0,12211.0,4158.0,10175.9259,3481.2
2021-04-19,103851,5,1190.0,1190.0,992.0,991.6667,773.5026
2021-04-19,107645,5,1990.0,4433.0,1658.0,3694.4444,1369.29
2021-04-19,110853,7,3990.0,8322.0,3325.0,6935.1852,2833.7
2021-04-19,112377,1,1124.0,1322.0,937.0,1101.8519,644.813
2021-04-19,112437,1,6644.0,9443.0,5537.0,7869.4444,5091.5697
2021-04-19,112582,1,23991.0,32211.0,19992.0,26842.5917,18909.0
2021-04-19,124329,3,2990.0,3322.0,2492.0,2768.5185,1800.0
2021-04-19,124455,1,23609.0,27777.0,19674.0,23147.2222,16599.3083
2021-04-19,125506,2,1407.0,1656.0,1172.0,1379.6296,848.63
2021-04-19,128194,1,25498.0,31110.0,21248.0,25925.0,18784.9958
2021-04-19,128772,1,22990.0,25544.0,19158.0,21287.037,17261.0
2021-04-19,131910,14,7490.0,11110.0,6242.0,9258.3333,6140.825
2021-04-19,132408,4,9990.0,17211.0,8325.0,14342.5926,7927.67
2021-04-19,132842,1,2490.0,3878.0,2075.0,3231.4815,1689.05
2021-04-19,133888,1,4713.0,5544.0,3928.0,4620.3704,2484.47
2021-04-19,134200,1,3052.0,3590.0,2543.0,2991.6667,2333.5026
2021-04-19,136250,9,990.0,2767.0,825.0,2305.5583,980.0
2021-04-19,139935,1,1499.0,1666.0,1249.0,1387.963,775.0
2021-04-19,142254,1,5990.0,7656.0,4992.0,6379.6333,3860.0
2021-04-19,143220,2,2490.0,5544.0,2075.0,4620.3704,1712.49
2021-04-19,143226,1,2490.0,3322.0,2075.0,2768.5185,1687.07
2021-04-19,145377,6,1190.0,2100.0,992.0,1750.0,860.0
2021-04-19,149306,1,17990.0,24322.0,14992.0,20268.5185,14494.9999
2021-04-19,156485,2,55992.0,69989.0,46660.0,58324.0741,44618.2
2021-04-19,156866,7,27990.0,38878.0,23325.0,32398.1481,22419.9999
2021-04-19,157316,2,3990.0,7767.0,3325.0,6472.2222,2829.0
2021-04-19,157317,1,4990.0,11100.0,4158.0,9250.0,3516.0
2021-04-19,157318,2,4990.0,12211.0,4158.0,10175.9259,3481.2
2021-04-19,161147,1,4249.0,4999.0,3541.0,4165.7407,2200.0
2021-04-20,103851,1,1190.0,1190.0,992.0,991.6667,773.5026
2021-04-20,107645,3,1990.0,4433.0,1658.0,3694.4444,1369.29
2021-04-20,110675,1,3649.0,4054.0,3041.0,3378.7037,1951.6982
2021-04-20,110853,10,3990.0,8322.0,3325.0,6935.1852,2833.7
2021-04-20,112376,3,325.0,433.0,271.0,361.1111,244.075
2021-04-20,112377,3,992.0,1322.0,827.0,1101.8519,545.61
2021-04-20,121807,1,1267.0,1490.0,1056.0,1241.6667,1009.47
2021-04-20,122363,2,7768.0,8878.0,6473.0,7398.1481,5416.4
2021-04-20,125506,4,1407.0,1656.0,1172.0,1379.6296,783.35
2021-04-20,128772,4,21712.0,25544.0,18093.0,21287.037,17261.0
2021-04-20,131910,15,7490.0,11110.0,6242.0,9258.3333,6147.5735
2021-04-20,132408,9,9990.0,17211.0,8325.0,14342.5926,7927.67
2021-04-20,132842,1,2350.0,3878.0,1958.0,3231.4815,1689.05
2021-04-20,133888,1,4158.0,5544.0,3465.0,4620.3704,2484.47
2021-04-20,136250,2,954.0,2767.0,795.0,2305.5583,980.0
2021-04-20,143220,5,2490.0,5544.0,2075.0,4620.3704,1712.49
2021-04-20,143226,3,2490.0,3322.0,2075.0,2768.5185,1687.07
2021-04-20,145377,7,1190.0,2100.0,992.0,1750.0,860.0
2021-04-20,154553,3,19823.0,23322.0,16519.0,19435.1852,15754.5
2021-04-20,154557,2,29156.5,33322.0,24297.0,27768.5185,22509.6
2021-04-20,156474,1,24990.0,34989.0,20825.0,29157.4074,20000.0
2021-04-20,156866,9,27990.0,38878.0,23325.0,32398.1481,22419.9999
2021-04-20,157316,2,3990.0,7767.0,3325.0,6472.2222,2829.0
2021-04-20,157317,5,4990.0,11100.0,4158.0,9250.0,3516.0
2021-04-20,157318,1,4990.0,12211.0,4158.0,10175.9259,3481.2
2021-04-20,157913,1,3990.0,6656.0,3325.0,5546.3,3380.0
2021-04-21,106100,1,1691.0,1989.0,1409.0,1657.5,1100.0
2021-04-21,107645,2,1990.0,4433.0,1658.0,3694.4444,1369.29
2021-04-21,110853,2,3990.0,8322.0,3325.0,6935.1852,2833.7
2021-04-21,121807,2,1267.0,1490.0,1056.0,1241.6667,1009.47
2021-04-21,124455,1,23609.0,27777.0,19674.0,23147.2222,16599.3083
2021-04-21,125506,3,1242.0,1656.0,1035.0,1379.6296,750.710875
2021-04-21,128772,1,21712.0,25544.0,18093.0,21287.037,17261.0
2021-04-21,131910,12,7490.0,11110.0,6242.0,9258.3333,6147.5735
2021-04-21,132408,3,9990.0,17211.0,8325.0,14342.5926,7927.67
2021-04-21,132842,1,2490.0,3878.0,2075.0,3231.4815,1689.05
2021-04-21,134200,3,3052.0,3590.0,2543.0,2991.6667,2333.5026
2021-04-21,136250,9,990.0,2767.0,825.0,2305.5583,980.0
2021-04-21,142254,1,5990.0,7656.0,4992.0,6379.6333,3860.0
2021-04-21,143220,1,2490.0,5544.0,2075.0,4620.3704,1712.49
2021-04-21,143226,3,2490.0,3322.0,2075.0,2768.5185,1687.07
2021-04-21,145377,3,1190.0,2100.0,992.0,1750.0,860.0
2021-04-21,154553,1,19990.0,23322.0,16658.0,19435.1852,15754.5
2021-04-21,156474,1,24990.0,34989.0,20825.0,29157.4074,20000.0
2021-04-21,156866,9,27990.0,38878.0,23325.0,32398.1481,22419.9999
2021-04-21,157316,2,3990.0,7767.0,3325.0,6472.2222,2829.0
2021-04-21,157318,2,4990.0,12211.0,4158.0,10175.9259,3481.2
2021-04-21,157913,1,3990.0,6656.0,3325.0,5546.3,3380.0
2021-04-21,161147,2,3619.5,4999.0,3016.0,4165.7407,2200.0
2021-04-22,106100,1,1790.0,1989.0,1492.0,1657.5,1100.0
2021-04-22,107645,8,1990.0,4433.0,1658.0,3694.4444,1369.29
2021-04-22,110675,1,3649.0,4054.0,3041.0,3378.7037,1951.6982
2021-04-22,110853,3,3990.0,8322.0,3325.0,6935.1852,2833.7
2021-04-22,110908,2,5741.0,7656.0,4784.0,6379.6333,3993.0
2021-04-22,112377,1,992.0,1322.0,827.0,1101.8519,545.61
2021-04-22,112437,1,7999.0,9443.0,6666.0,7869.4444,5091.5697
2021-04-22,112582,1,23990.0,32211.0,19992.0,26842.5917,18909.0
2021-04-22,122363,1,7990.0,8878.0,6658.0,7398.1481,5416.4
2021-04-22,124455,2,24304.0,27777.0,20253.0,23147.2222,16350.3187
2021-04-22,125506,3,1242.0,1656.0,1035.0,1379.6296,718.07
2021-04-22,128772,1,21712.0,25544.0,18093.0,21287.037,17261.0
2021-04-22,131910,12,7490.0,11110.0,6242.0,9258.3333,6147.5735
2021-04-22,132284,2,26434.0,31100.0,22028.0,25916.6667,21013.94
2021-04-22,132408,7,9990.0,17211.0,8325.0,14342.5926,7927.67
2021-04-22,132842,2,2490.0,3878.0,2075.0,3231.4815,1689.05
2021-04-22,133888,4,4297.0,5544.0,3581.0,4620.3704,2484.47
2021-04-22,134200,2,3052.0,3590.0,2543.0,2991.6667,2333.5026
