stock_date,product_id,total_stock
2021-06-06,112437,1549
2021-07-20,154553,75
2021-10-15,156474,4
2021-11-03,132284,24
2021-02-27,157317,179
2021-08-25,160649,27
2021-07-24,162101,546
2021-02-05,110675,67
2021-04-17,142254,80
2021-05-10,134200,557
2021-04-03,125506,1039
2021-10-17,136250,232
2021-11-05,136250,175
2021-06-29,164725,203
2021-10-02,154557,414
2021-02-19,125506,619
2021-08-05,161147,295
2021-06-09,143220,594
2021-11-21,157316,682
2021-11-20,132284,13
2021-07-19,134200,661
2021-02-20,112582,3
2021-06-11,149301,925
2021-03-04,157316,98
2021-03-08,157913,638
2021-04-14,156485,3
2021-07-31,156866,31
2021-09-13,128772,145
2021-07-25,128194,68
2021-04-16,162101,71
2021-03-11,106100,58
